"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ProgramadorREAL: Lula aceitar ministério só mostra fraqueza da Dilma. Se ela tivesse podendo era só baixar um decreto de que ex-preside…",FALSE,0,NA,2016-03-14 22:04:33,FALSE,NA,"709500490158051329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brandosilvamota",2,TRUE,FALSE,NA,NA
"2","Deputados: Aprovem o Pedido de Impeachment da Presidente Dilma - Assine o abaixo-assinado!
https://t.co/pGkt1vYdlX",FALSE,0,NA,2016-03-14 22:04:32,FALSE,NA,"709500487515697154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Guaraci_luiz201",0,FALSE,FALSE,NA,NA
"3","Lula decide viajar a Brasília para discutir com Dilma ministério https://t.co/d4O1keTiRC",FALSE,0,NA,2016-03-14 22:04:32,FALSE,NA,"709500485833773056",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ProsperoEFP",0,FALSE,FALSE,NA,NA
"4","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/LWbixwSItu",FALSE,0,NA,2016-03-14 22:04:31,FALSE,NA,"709500483228934144",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","romoaldanovinha",0,FALSE,FALSE,NA,NA
"5","Nomeação de ministro! Dilma vai colocar umas 1000 cerejas no bolo! É um misto de arrogância com incompetência para salvar o padrinho",FALSE,0,NA,2016-03-14 22:04:31,FALSE,NA,"709500482096668672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lulavilar",0,FALSE,FALSE,NA,NA
"6","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/JyYk1hyX7J",FALSE,0,NA,2016-03-14 22:04:31,FALSE,NA,"709500481899397121",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","sandrogariel",0,FALSE,FALSE,NA,NA
"7","RT @libdep: Um acobertador no Ministro da Justiça, um ladrão na Casa Civil.
Dilma &amp; governistas mostrando que não há mais a mínima vergonha…",FALSE,0,NA,2016-03-14 22:04:31,FALSE,NA,"709500481652047872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","palhacoinflado",7,TRUE,FALSE,NA,NA
"8","RT @millylacombe: “Como vc ainda consegue defender a Dilma?”
“Gents. Não defendo a Dilma. A administração que ela faz é indefensável. Defen…",FALSE,0,NA,2016-03-14 22:04:30,FALSE,NA,"709500479596859393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Triele",12,TRUE,FALSE,NA,NA
"9","#operacaobetalab Lula deve aceitar convite de Dilma para ser ministro https://t.co/vueTDcIzg1 #rt #sdv",FALSE,0,NA,2016-03-14 22:04:30,FALSE,NA,"709500477080141824",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","sandrabeta0",0,FALSE,FALSE,NA,NA
"10","Novo artigo - acesse Lula deve aceitar convite de Dilma para ser ministro https://t.co/T4hDWNWfvY https://t.co/8aoUXT9fH6",FALSE,0,NA,2016-03-14 22:04:29,FALSE,NA,"709500474735468545",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Porco_Velho",0,FALSE,FALSE,NA,NA
"11","RT @jornas13: Resta saber se a opinião pública reagirá bem à indicação do ex-presidente. Mais do que nunca, Dilma precisará demonstrar sabe…",FALSE,0,NA,2016-03-14 22:04:29,FALSE,NA,"709500472898560001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","flavioporto_",5,TRUE,FALSE,NA,NA
"12","Fontes indicam: falta um mindinho pro Lula aceitar uma vaga no ministério de Dilma. Acompanhemos.",FALSE,0,NA,2016-03-14 22:04:29,FALSE,NA,"709500472625917952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jocalda",0,FALSE,FALSE,NA,NA
"13","@pecesiqueira se ele aceitar o Ministério será mais um motivo para o Impeachment de Dilma, por isso a torcida.",FALSE,0,"pecesiqueira",2016-03-14 22:04:28,FALSE,"709500191120949248","709500468142194688","21068395","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RicardoBHZ",0,FALSE,FALSE,NA,NA
"14","ô dilma
mas que vergonha
a passagem de busão
ta mais cara que a maconha",FALSE,0,NA,2016-03-14 22:04:27,FALSE,NA,"709500464501542913",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pedromassucatto",0,FALSE,FALSE,NA,NA
"15","RT @MauricioTuitero: 3 millones de personas marchando en contra de la corrupción y pidiendo la salida de Dilma
#ForaDilma #ForaPT 
https://…",FALSE,0,NA,2016-03-14 22:04:26,FALSE,NA,"709500463192870912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NicoolasCoortes",228,TRUE,FALSE,NA,NA
"16","Danilo es más corrupto que Dilma, y en R.D. nada de nada, ¡qué porqueria de país más corrupto! https://t.co/7KKCDn1G0K",FALSE,0,NA,2016-03-14 22:04:26,FALSE,NA,"709500461041229824",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mf7Arkglmiguel",0,FALSE,FALSE,NA,NA
"17","RT @brasil247: Lula deve aceitar convite para ser ministro de Dilma https://t.co/RWI1YzyBrk via @brasil247",FALSE,0,NA,2016-03-14 22:04:26,FALSE,NA,"709500460181360642",NA,"<a href=""http://intervox.nce.ufrj.br/dosvox"" rel=""nofollow"">TweeterVox</a>","NormanDavisJr1",30,TRUE,FALSE,NA,NA
"18","RT @Estadao: Após conversar com Dilma, Lula deve decidir sobre ministério até quarta-feira https://t.co/ELW1us8Jkt",FALSE,0,NA,2016-03-14 22:04:25,FALSE,NA,"709500458633707520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denisetafarello",13,TRUE,FALSE,NA,NA
"19","RT @jornas13: Lula, com sua experiência de 8 anos como presidente do país, fora os anos de militância, será de grande valor par ao governo …",FALSE,0,NA,2016-03-14 22:04:24,FALSE,NA,"709500454795919360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","flavioporto_",9,TRUE,FALSE,NA,NA
"20","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/B12er3ily4",FALSE,0,NA,2016-03-14 22:04:24,FALSE,NA,"709500453445246976",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","SilvaRibeiro881",0,FALSE,FALSE,NA,NA
"21","RT @MaisDireita: RT @Dep_CrisBrasil: No dia seguinte ao maior protesto da história, Dilma quer anunciar Lula ministro...",FALSE,0,NA,2016-03-14 22:04:24,FALSE,NA,"709500453239791616",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","samuelrdv",2,TRUE,FALSE,NA,NA
"22","RT @micnews: Over 3 million Brazilians have taken to the streets demanding president Dilma Rousseff resign:
https://t.co/Awvd1n7pXl",FALSE,0,NA,2016-03-14 22:04:24,FALSE,NA,"709500452686184448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaitlinNett",7,TRUE,FALSE,NA,NA
"23","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/pWUxwFnGKU",FALSE,0,NA,2016-03-14 22:04:22,FALSE,NA,"709500445849362432",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","charlenelindoso",0,FALSE,FALSE,NA,NA
"24","#Lula a qualquer momento será o mais novo #ministro do governo #Dilma",FALSE,0,NA,2016-03-14 22:04:22,FALSE,NA,"709500445711065088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","antonioneto2601",0,FALSE,FALSE,NA,NA
"25","RT @jornas13: Lula, com sua experiência de 8 anos como presidente do país, fora os anos de militância, será de grande valor par ao governo …",FALSE,0,NA,2016-03-14 22:04:21,FALSE,NA,"709500439612542976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","libdep",9,TRUE,FALSE,NA,NA
"26","Quem disse que não é ""Protesto Fashion Week""?
""A exemplo das outras grandes manifestações contra Dilma ao longo... https://t.co/0oi25g7AyY",FALSE,0,NA,2016-03-14 22:04:20,FALSE,NA,"709500436110319616",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bruno_r_faria",0,FALSE,FALSE,NA,NA
"27","Mais uma delação premiada e Lula e Dilma é Citado,desta Vez ex Dep Fed Pedro Correa https://t.co/dxCciYQrOI",FALSE,0,NA,2016-03-14 22:04:20,FALSE,NA,"709500435657322496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OTogaPreta",0,FALSE,FALSE,NA,NA
"28","Brasil news Dilma anuncia sub-procurador geral da República para o ministério da Justiça https://t.co/R4ztoXIG1a",FALSE,0,NA,2016-03-14 22:04:19,FALSE,NA,"709500432809201664",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","LeoniMenezes",0,FALSE,FALSE,NA,NA
"29","Rumor de Lula no ministério de Dilma faz Bovespa cair 1,55% https://t.co/VGHJ2crl5Y",FALSE,0,NA,2016-03-14 22:04:19,FALSE,NA,"709500432607916032",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PortalHome",0,FALSE,FALSE,NA,NA
"30","RT @monicabergamo: URGENTE Lula deve aceitar ser ministro de Dilma.",FALSE,0,NA,2016-03-14 22:04:19,FALSE,NA,"709500431827865600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcospauloms",307,TRUE,FALSE,NA,NA
"31","RT @estadohiramico: URGENTE: Morre em Brasília Presidente Dilma Rousseff. Em breve mais informações. https://t.co/8QQZ7wNp33",FALSE,0,NA,2016-03-14 22:04:19,FALSE,NA,"709500431010033665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabrieldesa_",148,TRUE,FALSE,NA,NA
"32","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/BdTlADLGTs",FALSE,0,NA,2016-03-14 22:04:18,FALSE,NA,"709500429508354049",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","glauberbeta1",0,FALSE,FALSE,NA,NA
"33",".....Agora Lula aceita o emprego oferecido por Dilma!!! Juíza manda para Moro denúncia e pedido de prisão de Lula https://t.co/lQIZehUMHh",FALSE,0,NA,2016-03-14 22:04:18,FALSE,NA,"709500428401156096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","caiohostilio",0,FALSE,FALSE,NA,NA
"34","Dilma anuncia sub-procurador geral da República para o ministério da Justiça: 
A presidente Dilma Rousseff an... https://t.co/FvBToVjWb8",FALSE,0,NA,2016-03-14 22:04:18,FALSE,NA,"709500426484211712",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","brnjf",0,FALSE,FALSE,NA,NA
"35","RT @oiluiz: ""Dilma aguarda telefonema de Lula e acredita que ele aceitará ser ministro"" Por falar nisso tô aguardando vc me ligar e aceitar…",FALSE,0,NA,2016-03-14 22:04:17,FALSE,NA,"709500425083424769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Viictor_andr",6,TRUE,FALSE,NA,NA
"36","PROTESTAS EN BRASIL DILMA PA FUERA VENEZOLANOS ESTAMOS PASADOS DE PENDEJOS MADURO LO SIGUE METIENDO#VENEZUELAaRRECHATE",FALSE,0,NA,2016-03-14 22:04:17,FALSE,NA,"709500424810848260",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reycolinaf",0,FALSE,FALSE,NA,NA
"37","Lula deve ir a Brasília conversar com Dilma sobre ministério https://t.co/84yJjvv12o via @veja",FALSE,0,NA,2016-03-14 22:04:17,FALSE,NA,"709500423930028033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","emilicell",0,FALSE,FALSE,NA,NA
"38","RT @BlogdoNoblat: E Dilma, hein? Conformada em abdicar p/Lula do poder q lhe resta. https://t.co/M1Eh2fchw9",FALSE,0,NA,2016-03-14 22:04:17,FALSE,NA,"709500423598637056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VIANA63",20,TRUE,FALSE,NA,NA
"39","RT @estadohiramico: URGENTE: Morre em Brasília Presidente Dilma Rousseff. Em breve mais informações. https://t.co/8QQZ7wNp33",FALSE,0,NA,2016-03-14 22:04:17,FALSE,NA,"709500421811920896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcinhoMeio",148,TRUE,FALSE,NA,NA
"40","Se se confirmar a ascensão do Lula a um Ministério, Governo Dilma entrou em modo kamikaze.",FALSE,0,NA,2016-03-14 22:04:16,FALSE,NA,"709500417852440576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nattomelo",0,FALSE,FALSE,NA,NA
"41","Para escapar da justiça o chefe vai aceitar mesmo uma pasta na ditadura da corrupção. https://t.co/vKV32S7GKT",FALSE,0,NA,2016-03-14 22:04:15,FALSE,NA,"709500414639611904",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GustavoRMoreno",0,FALSE,FALSE,NA,NA
