"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Simon_Bolivar69: ¡SEGUID EL EJEMPLO DE BRASIL! &gt; Fuera los corruptos. Dilma Rousseff FORA. #Brasil #Venezuela #Vzla #Patria #Pueblo htt…",FALSE,0,NA,2016-03-14 08:12:24,FALSE,NA,"709291074884411392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RUNRUNESS",1,TRUE,FALSE,NA,NA
"2","RT @GenPenaloza: BRASIL Ola de protestas con millones de personas contra Dilma recorre a todo el pais. Ver foto https://t.co/CTqY426aTZ",FALSE,0,NA,2016-03-14 08:12:22,FALSE,NA,"709291066600648704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","PAZVENEZUELA7",219,TRUE,FALSE,NA,NA
"3","RT @letrapreta: Se eu fosse a Dilma agora chutava o pau da barraca: liberava o aborto, legalizava a maconha e taxava as grandes fortunas. T…",FALSE,0,NA,2016-03-14 08:12:17,FALSE,NA,"709291044790267904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsjunobrega",3205,TRUE,FALSE,NA,NA
"4","RT @tdevilsadvocat: gente que absurdo essa moça não pode protestar porque tava passando as próprias roupas culpa da Dilma e do PT https://t…",FALSE,0,NA,2016-03-14 08:12:12,FALSE,NA,"709291023378333696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mazzeveras",399,TRUE,FALSE,NA,NA
"5","RT @SureKamhunga: Biggest protest in Brazil history taking place now,, estimates of 3m, they are fed up with president Dilma Rousseff https…",FALSE,0,NA,2016-03-14 08:12:12,FALSE,NA,"709291022682034176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TonwaTai",4,TRUE,FALSE,NA,NA
"6","Brésil : manifestation historique contre Dilma Rousseff https://t.co/Qa5HRFE6Ep https://t.co/ZGsAcUafGa",FALSE,0,NA,2016-03-14 08:12:02,FALSE,NA,"709290979229114368",NA,"<a href=""https://secure.echoboxapp.com"" rel=""nofollow"">Echobox Social</a>","lobs",2,FALSE,FALSE,NA,NA
"7","#roussef macht the #merkel for #brazil .. Was nur eine million ?! #ltw #sa #bw #rlp 'horror' government .. https://t.co/7CCNhXsUPU",FALSE,0,NA,2016-03-14 08:12:01,FALSE,NA,"709290975722655746",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","DjValentino45",0,FALSE,FALSE,NA,NA
"8","RT @LeHuffPost: Trois millions de Brésiliens dans la rue pour demander le départ de Dilma Roussef https://t.co/HzGcOT6KvL",FALSE,0,NA,2016-03-14 08:11:56,FALSE,NA,"709290955728404480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p_chateau",9,TRUE,FALSE,NA,NA
"9","Semana decisiva para Dilma e o PT: https://t.co/ZapkwJaRha",FALSE,0,NA,2016-03-14 08:11:44,FALSE,NA,"709290903630974976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","historianderson",0,FALSE,FALSE,NA,NA
"10","RT @HugoSantaromita: ASOMBROSO: ahora vean en video la gigantesca protesta hoy #13M en Sâo Paulo #Brasil contra Dilma Rousseff. https://t.c…",FALSE,0,NA,2016-03-14 08:11:42,FALSE,NA,"709290897779720192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabrielparada05",95,TRUE,FALSE,NA,NA
"11","O que espera o governo Dilma nessa semana decisiva: https://t.co/ZapkwITfSA",FALSE,0,NA,2016-03-14 08:11:32,FALSE,NA,"709290853706047488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","historianderson",0,FALSE,FALSE,NA,NA
"12","Caminhoneiros vão parar em apoio ao impeachment de Dilma ´trambique` https://t.co/cSwXSSdJAx",FALSE,0,NA,2016-03-14 08:11:28,FALSE,NA,"709290840166948864",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","sprang_bill",0,FALSE,FALSE,NA,NA
"13","RT @reinaldoazevedo: 3,5 milhões foram às ruas contra o PT, contra Dilma, contra Lula e contra a roubalheira https://t.co/YvOAberc4A via @v…",FALSE,0,NA,2016-03-14 08:11:28,FALSE,NA,"709290838841491456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lobaoentrevista",21,TRUE,FALSE,NA,NA
"14","RT @SPIEGELONLINE: Massenproteste in Brasilien: Hunderttausende demonstrieren gegen Präsidentin Rousseff https://t.co/LNlGvmM97Y https://t.…",FALSE,0,NA,2016-03-14 08:11:26,FALSE,NA,"709290830041731072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CherylHowell20",8,TRUE,FALSE,NA,NA
"15","RT @MCCdoBrasil: Não deu Faustão! 
Calma coxinhas vcs poderão vaiar a Dilma na abertura das olimpíadas 2016 
Vamos aos fatos https://t.co/i…",FALSE,0,NA,2016-03-14 08:11:23,FALSE,NA,"709290817362513920",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rogerio_sinesio",170,TRUE,FALSE,NA,NA
"16","RT @leJDD: EN IMAGES. Manifestations monstres contre Dilma Roussef au Brésil https://t.co/jBUDOFkBka https://t.co/WeyY95ublQ",FALSE,0,NA,2016-03-14 08:11:22,FALSE,NA,"709290813763805184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aforefreer",4,TRUE,FALSE,NA,NA
"17","EN IMAGES. Manifestations monstres contre Dilma Roussef au Brésil https://t.co/44OakOHJXp https://t.co/Vp6QsPQM3P",FALSE,0,NA,2016-03-14 08:11:12,FALSE,NA,"709290770092707840",NA,"<a href=""http://www.1001portails.com"" rel=""nofollow"">1001ptsru_4</a>","1001portails",0,FALSE,FALSE,NA,NA
"18","RT @pueblo_hnos: @Genpenaloza Vídeo: Fuera Dilma Rousseff d #Brasil fuera Nicolás Maduro d #Venezuela fuera el #SocialismoDelSigloXXI https…",FALSE,0,NA,2016-03-14 08:11:10,FALSE,NA,"709290760793944064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","PAZVENEZUELA7",56,TRUE,FALSE,NA,NA
"19","¡SEGUID EL EJEMPLO DE BRASIL! &gt; Fuera los corruptos. Dilma Rousseff FORA. #Brasil #Venezuela #Vzla #Patria #Pueblo https://t.co/7OnEjJbpXF",FALSE,0,NA,2016-03-14 08:11:09,FALSE,NA,"709290759535595520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Simon_Bolivar69",1,FALSE,FALSE,NA,NA
"20","RT @nytimesworld: Protests revive in Brazil with a familiar demand: the ouster of President Dilma Rousseff. https://t.co/VFxckXNaQ3 https:/…",FALSE,0,NA,2016-03-14 08:11:02,FALSE,NA,"709290731156811777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tkcsuntkcsun",128,TRUE,FALSE,NA,NA
"21","RT @ProanoMaya: Brasil : La relación de Dilma Rousseff con Lula Da Silva es la misma relación del creador con la criatura  .",FALSE,0,NA,2016-03-14 08:10:57,FALSE,NA,"709290709006815232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malenapierina",1,TRUE,FALSE,NA,NA
"22","Caminhoneiros vão parar em apoio ao impeachment de Dilma ´trambique` https://t.co/acKqox1T9J",FALSE,0,NA,2016-03-14 08:10:55,FALSE,NA,"709290698370129920",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","braniac58",0,FALSE,FALSE,NA,NA
"23","El Observador | Masiva e histórica protesta contra Dilma Rousseff sacudió a Br... https://t.co/6igjHZlAFX",FALSE,0,NA,2016-03-14 08:10:53,FALSE,NA,"709290690476290048",NA,"<a href=""http://www.ahoramismo.uy"" rel=""nofollow"">AhoraMismo.Uy</a>","ahoramismo_uy",0,FALSE,FALSE,NA,NA
"24","RT @nytimesworld: Protests revive in Brazil with a familiar demand: the ouster of President Dilma Rousseff. https://t.co/VFxckXNaQ3 https:/…",FALSE,0,NA,2016-03-14 08:10:48,FALSE,NA,"709290670415093760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","smilart_info",128,TRUE,FALSE,NA,NA
"25","������������ Protests revive in Brazil demand the ouster of President Dilma Rousseff (NY Times photo Miguel Schincariol/AFP) https://t.co/esCi6ZZZYv",FALSE,0,NA,2016-03-14 08:10:48,FALSE,NA,"709290668728918016",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GillesKLEIN",0,FALSE,FALSE,NA,NA
"26","RT @itele: #Brésil &gt; Plus de 3 millions de manifestants dans tout le pays réclament le départ de Dilma Roussef
https://t.co/5Pap2Cgti0",FALSE,0,NA,2016-03-14 08:10:47,FALSE,NA,"709290666757644288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","gregdaimaoh",106,TRUE,FALSE,NA,NA
"27","RT @nytimesworld: Protesters across Brazil called for the ouster of President Dilma Rousseff on Sunday. https://t.co/5P6K79yvOC https://t.c…",FALSE,0,NA,2016-03-14 08:10:40,FALSE,NA,"709290636730445824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ejohansson02",34,TRUE,FALSE,NA,NA
"28","Maior manifestação da história do País aumenta pressão por saída de Dilma https://t.co/Ssu13jBV1q",FALSE,0,NA,2016-03-14 08:10:38,FALSE,NA,"709290629830991872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","silviaregina792",0,FALSE,FALSE,NA,NA
"29","RT @drangelocarbone: Dilma o povo quer sua cabeça e o lula na gaiola https://t.co/DrWTma0uA0",FALSE,0,NA,2016-03-14 08:10:37,FALSE,NA,"709290624273539072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","olivieer26",5,TRUE,FALSE,NA,NA
"30","RT @mateusalp: talvez eu esteja rindo bastante de uma turminha q foi no protesto com placa ""esquerda contra Dilma"" e teve que ser escoltada…",FALSE,0,NA,2016-03-14 08:10:35,FALSE,NA,"709290615956246528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VitorWdV",3,TRUE,FALSE,NA,NA
"31","RT @RevistaEpoca: PMDB considera impeachment de Dilma inevitável https://t.co/gQJHVkdnnq https://t.co/CCsxRidRBZ",FALSE,0,NA,2016-03-14 08:10:14,FALSE,NA,"709290529536786432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lukwert",483,TRUE,FALSE,NA,NA
"32","#Internacionales Miles de personas se movilizaron en Brasil contra Dilma Rousseff - https://t.co/3vpDp6y3km",FALSE,0,NA,2016-03-14 08:10:13,FALSE,NA,"709290524583305216",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GuayoyoWeb",0,FALSE,FALSE,NA,NA
"33","RT @nytimesworld: Protests revive in Brazil with a familiar demand: the ouster of President Dilma Rousseff. https://t.co/VFxckXNaQ3 https:/…",FALSE,0,NA,2016-03-14 08:10:13,FALSE,NA,"709290523903795200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kisschris_g",128,TRUE,FALSE,NA,NA
"34","RT @itele: #Brésil &gt; Plus de 3 millions de manifestants dans tout le pays réclament le départ de Dilma Roussef
https://t.co/5Pap2Cgti0",FALSE,0,NA,2016-03-14 08:10:13,FALSE,NA,"709290523316645888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sarahlantu",106,TRUE,FALSE,NA,NA
"35","RT @GirealaDerecha: Grande Brasil, fuera Dilma !!! https://t.co/vWsPCQ8QAN",FALSE,0,NA,2016-03-14 08:10:12,FALSE,NA,"709290520699346944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClariVeri",174,TRUE,FALSE,NA,NA
"36","RT @leJDD: EN IMAGES. Manifestations monstres contre Dilma Roussef au Brésil https://t.co/jBUDOFkBka https://t.co/WeyY95ublQ",FALSE,0,NA,2016-03-14 08:10:12,FALSE,NA,"709290518191206400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoleilauZenith",4,TRUE,FALSE,NA,NA
"37","RT @AkanchaS: biggest ever protest in history of #Brazil is happening right now against Prez #Dilma. 3Mn people out on the streets https://…",FALSE,0,NA,2016-03-14 08:10:09,FALSE,NA,"709290508649009152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ronthedon007",104,TRUE,FALSE,NA,NA
