"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @FroederManu: Ah, se o problema fosse só a Dilma ... https://t.co/cvTlL7FUcP",FALSE,0,NA,2016-03-15 22:53:44,FALSE,NA,"709875256308199424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GodenotFC",1786,TRUE,FALSE,NA,NA
"2","Dilma: 'indignada' com tentativa de envolvê-la com ato de Mercadante[@G1]A mulher @dilmabr vive CERCADA DE BANDIDOS e se diz SANTA???",FALSE,0,NA,2016-03-15 22:53:43,FALSE,NA,"709875253749673984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LIPPEALMEIDA",0,FALSE,FALSE,NA,NA
"3","@AruanFelix somos todos filhos da Dilma ebaaaaaa",FALSE,0,"AruanFelix",2016-03-15 22:53:43,FALSE,"709875037281640448","709875252638130176","59339558","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PudimDoAruan",0,FALSE,FALSE,NA,NA
"4","RT @Estadao: 'Dilma Rousseff tinha pleno conhecimento do processo de aquisição em Pasadena', diz delação https://t.co/MpBYyfPPiB",FALSE,0,NA,2016-03-15 22:53:43,FALSE,NA,"709875249911824386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fnando_JP",59,TRUE,FALSE,NA,NA
"5","RT @JornalOGlobo: Lula deixa SP para se encontrar com Dilma em Brasília e avaliar os impactos para o governo. https://t.co/YTrkooHl3W https…",FALSE,0,NA,2016-03-15 22:53:42,FALSE,NA,"709875246900375553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eyelegal",46,TRUE,FALSE,NA,NA
"6","RT @professorcirino: .
Não vamos nos distrair com coisas do Delcidio.

Dia 18 Mar apoio total a Dilma e Lula nas ruas

É guerra mesmo.

. h…",FALSE,0,NA,2016-03-15 22:53:41,FALSE,NA,"709875244195037186",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","dionianjos",4,TRUE,FALSE,NA,NA
"7","RT @blogsertao: Delcídio diz em delação que Dilma agiu para acabar com a corrupção em Furnas https://t.co/1CcSBTPDVN",FALSE,0,NA,2016-03-15 22:53:41,FALSE,NA,"709875243716890624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sigaesquerda",14,TRUE,FALSE,NA,NA
"8","RT @gazetadopovo: Janot vai decidir se pede abertura de inquérito contra Dilma
 https://t.co/bAjFqjASvs https://t.co/UCxWBcIqOc",FALSE,0,NA,2016-03-15 22:53:40,FALSE,NA,"709875239962996736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ricardaogbrasil",4,TRUE,FALSE,NA,NA
"9","@brasil247 Reuters confirma Lula como ministro de Dilma",FALSE,0,"nona_alves",2016-03-15 22:53:40,FALSE,"709873874398220288","709875237811265536","636152342","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nona_alves",0,FALSE,FALSE,NA,NA
"10","RT @BlogDoPim: Mercadante tenta blindar Dilma: ""A responsabilidade é totalmente minha"". Faltou acrescentar: pelo menos é o que a chefe me m…",FALSE,0,NA,2016-03-15 22:53:39,FALSE,NA,"709875233457631233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jmvflu",203,TRUE,FALSE,NA,NA
"11","@AruanFelix Sai dessa vida de Dilma ajdnanxjanj e entra pra minha",FALSE,0,"AruanFelix",2016-03-15 22:53:38,FALSE,NA,"709875232643874816","59339558","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NandaPlay2",0,FALSE,FALSE,NA,NA
"12","RT @rodolfogbw: Janot vai avaliar se denuncia ou não Dilma! Pressão nesse sujeito!",FALSE,0,NA,2016-03-15 22:53:38,FALSE,NA,"709875229510737920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","skullmann",5,TRUE,FALSE,NA,NA
"13","RT @coelho_socorro: AH! É MUITO LIXOOOO! 
NÃO ESQUEÇAM QUE DELCÍDIO ERA O LÍDER DO GOVERNO NO SENADO.O HOMEM FORTE DE DILMA E LULA. https:/…",FALSE,0,NA,2016-03-15 22:53:38,FALSE,NA,"709875228634189824",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Betacpm",55,TRUE,FALSE,NA,NA
"14","Presidente Dilma pode ser investigada

https://t.co/a0ofzVteRS via @folha_com",FALSE,0,NA,2016-03-15 22:53:37,FALSE,NA,"709875228483182594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denicarlo",0,FALSE,FALSE,NA,NA
"15","Dilma desmontou o Ninho da Ratazana...Morr..O Achacador..Sir Eduardo Cunha!! Não ficou pedra sobre pedra!
#Dia18
 https://t.co/W4JidH34Jg",FALSE,1,NA,2016-03-15 22:53:37,FALSE,NA,"709875228403339264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","quesiaandrades1",1,FALSE,FALSE,NA,NA
"16","RT @EnioBacci: A cada dia se agrava a situação da Presidente Dilma. O Governo, atolado em denúncias está paralisado.",FALSE,0,NA,2016-03-15 22:53:37,FALSE,NA,"709875228093063168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rodrigogbueno",3,TRUE,FALSE,NA,NA
"17","@AruanFelix SEJA A DILMA? Nem cortando a placa :/",FALSE,0,"AruanFelix",2016-03-15 22:53:37,FALSE,"709874551837081605","709875227879145473","59339558","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MixWiliam",0,FALSE,FALSE,NA,NA
"18","Em vídeo, a denúncia “estarrecedora” contra Lula e Dilma no Jornal da Band, incluindo a frase... https://t.co/ky9LGeCUbW",FALSE,0,NA,2016-03-15 22:53:37,FALSE,NA,"709875227241525249",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","joaocabus",0,FALSE,FALSE,NA,NA
"19","RT @shababaty: A partir da delação premiada do senador #Delcídio 
PGR vai decidir se pede abertura de inquérito contra #Dilma 
https://t.co…",FALSE,0,NA,2016-03-15 22:53:37,FALSE,NA,"709875225505210368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EnithCarranco",1,TRUE,FALSE,NA,NA
"20","Dilma e sua insaciável vontade de jogar esse país ainda mais no lamaçal,VERGONHA! https://t.co/x7yfCs1EvV",FALSE,0,NA,2016-03-15 22:53:37,FALSE,NA,"709875224850739200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EduardoWilsonpi",0,FALSE,FALSE,NA,NA
"21","Veja o vídeo! Lula como ministro de Dilma é crime e pode afastar Dilma e extinguir o PT, afirma cientista... https://t.co/TxQOIrFMdE",FALSE,0,NA,2016-03-15 22:53:36,FALSE,NA,"709875223957540864",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","CANALGAMA",1,FALSE,FALSE,NA,NA
"22","Imagina a Dilma chegando no Lula e dizendo: ""Companheiro, você prefere voar ou visão de raio-x?"" https://t.co/WsyGZmlg3t",FALSE,0,NA,2016-03-15 22:53:36,FALSE,NA,"709875223668125698",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","synthzoid",0,FALSE,FALSE,NA,NA
"23","RT @matsimon: @palomaab_ @jnflesch e pode ver que na maioria das vezes, quando fala da Dilma e do PT, sempre tem uma mas, um comparativo, p…",FALSE,0,NA,2016-03-15 22:53:35,FALSE,NA,"709875218999853057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sincerlovato",1,TRUE,FALSE,NA,NA
"24","RT @migueldorosario: Delcídio: Dilma matou focos de corrupção de Cunha e Aécio https://t.co/edtWij1iQV",FALSE,0,NA,2016-03-15 22:53:35,FALSE,NA,"709875218332917762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lia64Lia",41,TRUE,FALSE,NA,NA
"25","RT @carlosprazere11: Após delação, PGR vai avaliar possibilidade de investigação sobre Dilma: 

    A s... https://t.co/fA3J4cFnne",FALSE,0,NA,2016-03-15 22:53:34,FALSE,NA,"709875215136903168",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","manoelramosdea1",1,TRUE,FALSE,NA,NA
"26","RT @rosangela_tal: Dilma sua linda muito obrigada por Furnas https://t.co/t4v9pJHQAw",FALSE,0,NA,2016-03-15 22:53:34,FALSE,NA,"709875214440648704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ronneynogueira",12,TRUE,FALSE,NA,NA
"27","Dilma libera e Renan começa a costurar semiparlamentarismo; entenda https://t.co/UqdG0n7WJM",FALSE,0,NA,2016-03-15 22:53:33,FALSE,NA,"709875211743657985",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","darkseid70",0,FALSE,FALSE,NA,NA
"28","RT @diegoescosteguy: Delcídio, de maneira verossímil, também narra que Dilma participou, sim, da nomeação de Cerveró para a BR. Ou seja: Di…",FALSE,0,NA,2016-03-15 22:53:32,FALSE,NA,"709875205850718208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AyurvedaPoa",321,TRUE,FALSE,NA,NA
"29","RT @matsimon: @palomaab_ @jnflesch faz 378273 tweets contra o PSDB, o Aécio e os protestos...e um ou outro criticando a Dilma, para parecer…",FALSE,0,NA,2016-03-15 22:53:31,FALSE,NA,"709875202587561986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sincerlovato",1,TRUE,FALSE,NA,NA
"30","RT @AndreiaSadi: EXCLUSIVO: assessor de Delcidio diz à GloboNews ""não ter dúvidas"" que Mercadante o procurou a pedido de Dilma. Na @GloboNe…",FALSE,0,NA,2016-03-15 22:53:31,FALSE,NA,"709875202587541504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MenezesZen",222,TRUE,FALSE,NA,NA
"31",".
Não vamos nos distrair com coisas do Delcidio.

Dia 18 Mar apoio total a Dilma e Lula nas ruas

É guerra mesmo.

. https://t.co/HJtmV21wrC",FALSE,1,NA,2016-03-15 22:53:31,FALSE,NA,"709875201425678336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","professorcirino",1,FALSE,FALSE,NA,NA
"32","RT @blogsertao: Delcídio diz em delação que Dilma agiu para acabar com a corrupção em Furnas https://t.co/1CcSBTPDVN",FALSE,0,NA,2016-03-15 22:53:30,FALSE,NA,"709875197193621505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ottofariias",14,TRUE,FALSE,NA,NA
"33","RT @CarlosBolsonaro: Vaiar a Dilma é o maior programa social já inventado pelo PT: você vaia hoje e amanhã já vira elite! https://t.co/Hy15…",FALSE,0,NA,2016-03-15 22:53:30,FALSE,NA,"709875196858077184",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","fredericojpa",116,TRUE,FALSE,NA,NA
"34","RT @cavalopitbull: Dilma tá conseguindo dobrar a meta do desavergonhamento do PT
O nojo q o povo tinha do PT tbm dobrou.
#LulaGolpista",FALSE,0,NA,2016-03-15 22:53:30,FALSE,NA,"709875195880861697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michael_knopack",34,TRUE,FALSE,NA,NA
"35","RT @ReginaSalomo: Delcídio:
Dilma vetou pessoalmente aliado de Temer envolvido em irregularidades
Dilma desmontou esquema de Cunha em Furna…",FALSE,0,NA,2016-03-15 22:53:29,FALSE,NA,"709875192361832448",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","YasminHeinrich",35,TRUE,FALSE,NA,NA
"36","RT @correio: Delcídio diz que não há hipótese de isentar Dilma em Pasadena https://t.co/In9TbJefGR https://t.co/T2mh9y2icI",FALSE,0,NA,2016-03-15 22:53:28,FALSE,NA,"709875186997338112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bssimoes1980",43,TRUE,FALSE,NA,NA
